"","Name","PassportID","Gender","DateOfBirth","Age","Nationality","University","Commission","YearOfAdmission"
"28","Yasmin Al-Khalid","MY714932","Female","20/7/1996",21,"Saudi Arabia","UM",2800,2017
"29","Omar El-Mahdi","MY656128","Male","5/10/1995",22,"Sudan","UPM",3200,2017
"30","Leila Al-Said","MY562397","Female","9/12/1994",23,"Jordan","UM",2900,2017
"31","Zainab Al-Hamad","MY564712","Female","12/1/1996",20,"Bahrain","UPM",2800,2017
"32","Hassan Al-Mazrouei","MY751928","Male","22/4/1995",22,"UAE","UM",3200,2017
"33","Fatima Ahmed","MY629847","Female","29/7/1994",23,"Egypt","USM",2900,2017
"34","Karim Al-Sulaiman","MY427819","Male","8/2/1996",21,"Saudi Arabia","UM",3100,2017
"35","Sara El-Mahdi","MY398517","Female","5/9/1995",22,"Sudan","UPM",3000,2017
"36","Leila Al-Rashid","MY213456","Female","18/12/194",23,"Iraq","UM",3300,2017
"37","Amir Al-Mansoori","MY196843","Male","14/6/1996",20,"UAE","UPM",3100,2017
"38","Yasmin Hassan","MY174635","Female","25/1/1995",22,"Yemen","UM",2800,2017
"39","Omar Ibrahim","MY098746","Male","19/8/1994",23,"Egypt","UPM",3200,2017
"40","Nour Al-Amin","MY065128","Male","10/9/1996",21,"Libya","UM",3000,2017
"41","Aisha Al-Hassan","MY922411","Female","29/1/1995",22,"Sudan","USM",2900,2017
"42","Kareem Al-Said","MY871536","Male","16/4/1994",23,"Jordan","UM",3100,2017
"43","Yasmin Al-Mazrouei","MY735298","Female","20/7/1996",21,"UAE","UM",2800,2017
"44","Omar Ahmed","MY652487","Male","5/10/1995",22,"Egypt","USM",3200,2017
"45","Leila Al-Hamad","MY579631","Female","9/12/1994",23,"Bahrain","UM",2900,2017
"46","Hassan Al-Sulaiman","MY447801","Male","16/2/1996",21,"Saudi Arabia","UM",3100,2017
"47","Fatima El-Mahdi","MY366492","Female","23/9/1995",22,"Sudan","USM",3000,2017
"48","Karim Al-Rashid","MY254761","Male","28/12/1994",23,"Iraq","UM",3300,2017
"49","Mohamed Ali","MY98765432","Male","1-Jan-99",20,"Somalia","UCSI",1500,2019
"50","Fardous Ahmed","ID12345678","Female","1-Jan-00",19,"Somalia","UM",2000,2019
"51","Khalid Omar","EG89101112","Male","1-Jan-01",18,"Somalia","Taylor's",1800,2019
"52","Mohamed Salah","SD13141516","Male","1-Jan-97",22,"Egypt","APU",2200,2019
"53","Ahmed Hassan","ET17181920","Male","1-Jan-00",19,"Egypt","UUM",1900,2019
"54","Norhan Ali","SA21222324","Female","1-Jan-98",21,"Egypt","UIA",2500,2019
"55","Samira Younis","KW25262728","Female","1-Jan-00",19,"Egypt","City",1700,2019
"56","Zainab Bashir","OM29303132","Female","1-Jan-01",18,"Sudan","UPM",2200,2019
"57","Abdullah Hassan","QA33343536","Male","1-Jan-99",20,"Sudan","USM",2000,2019
"58","Salman Ibrahim","BH37383940","Male","1-Jan-02",17,"Sudan","UiTM",1700,2019
"59","Amina Ali","JO41424344","Female","1-Jan-99",20,"Kenya","UMS",1800,2019
"60","Hiranya Uma","LB45464748","Female","1-Jan-01",18,"Kenya","UKM",2200,2019
"61","Ismail Hassan","SY49505152","Male","1-Jan-98",21,"Kenya","IIUM",2500,2019
"62","Safwan Salah","TR53545556","Male","1-Jan-00",19,"Kenya","UniMAP",1900,2019
"63","Rahim Ahmed","GR57585960","Male","1-Jan-01",18,"Somalia","UTM",1700,2019
"64","Farouk Mohamed","IT61626364","Male","1-Jan-98",23,"Egypt","AIT",1500,2019
"65","Noura Ali","ES65666768","Female","5-Feb-99",20,"Somalia","ASU",2000,2019
"66","Muhammad Rami","FR69707172","Male","4-Apr-97",22,"Egypt","UP",1800,2019
"67","Aisha Bashir","DE73747576","Female","15-Sep-98",21,"Somalia","UTHM",2500,2019
"68","Sarah Abdelaziz","NL77787980","Female","22-Oct-96",23,"Egypt","UMK",2200,2019
"69","Abdikarim Hassan","SE81828384","Male","8-Dec-99",20,"Somalia","UMT",1700,2019
"70","Mohamed Ali","NO85868788","Male","1-Jan-99",20,"Somalia","UMP",1900,2019
"71","Ameena Hassan","DK89909192","Female","1-Jan-97",22,"Somalia","USIM",1800,2019
"72","Muhammad Ahmed","FI93949596","Male","12-Feb-98",21,"Egypt","UTP",2000,2019
"73","Abdullah Ahmed","PL97989900","Male","5-Jul-99",20,"Sudan","UMKC",2200,2019
"74","Mariam Hassan","CZ01020304","Female","14-Apr-97",22,"Somalia","UTHM",2100,2019
"75","Omar Hassan Ali","SK05060708","Male","3-Dec-97",22,"Somalia","UMT",1700,2019
"76","Mohamed Ismail","HU09101112","Male","1-Jan-98",21,"Egypt","UMK",1900,2019
"77","Ayman Hassan","RO13141516","Male","9-Sep-98",21,"Egypt","UPMKB",1600,2019
"78","Abdi Hassan","BG17181920","Male","3-Jan-98",23,"Somalia","UMP",500,2019
"79","Fatima Ali","UA21222324","Female","15-Jul-97",23,"Somalia","USIM",250,2019
"80","Ahmed Mohamed","RU25262728","Male","10-Sep-96",24,"Somalia","UTP",400,2019
"81","Omar Abdi","KZ29303132","Male","2-Feb-99",22,"Somalia","UMKC",450,2019
"82","Mohamed Ali","CN33343536","Male","20-Apr-98",23,"Somalia","UTHM",300,2019
"83","Abdullah Ahmed","JP37383940","Male","5-Jun-97",23,"Yemen","UMT",350,2019
"84","Salma Hassan","KR41424344","Female","18-Dec-98",22,"Yemen","UMK",200,2019
"85","Omar Al-Shami","TW45464748","Male","12-Oct-99",21,"Yemen","UPMKB",550,2019
"86","Fatima Al Ali","HK49505152","Female","1-Jan-96",25,"Bahrain","UMK",150,2019
"87","Ali Hassan","MY53545556","Male","5-Aug-97",23,"Bahrain","USIM",300,2019
"88","Mohamed Saeed","SG57585960","Male","14-Feb-98",23,"Egypt","UTP",400,2019
"89","Sarah Abdullah","TH61626364","Female","6-May-96",24,"Egypt","UMKC",250,2019
"90","Ahmed Hassan","VN65666768","Male","9-Sep-99",21,"Egypt","UTHM",350,2019
"91","Amira Mohamed","PH69707172","Female","20-Oct-97",23,"Egypt","UMT",150,2019
"92","Mustafa Ali","ID73747576","Male","8-Dec-98",22,"Egypt","UMK",450,2019
"93","Ahmed Alami","AU77787980","Male","3-Feb-98",23,"Morocco","UPMKB",2500,2019
"94","Fatima Ali","NZ81828384","Female","10-Jan-00",19,"UAE","UMK",3000,2019
"95","Nader Abdullah","FJ85868788","Male","25-Dec-99",20,"Saudi Arabia","USIM",2000,2019
"96","Yasmin Bakr","PG89909192","Female","17-Apr-97",22,"Egypt","UTP",1500,2019
"97","Ahmad Mansour","SB93949596","Male","5-Jul-00",19,"Lebanon","UMKC",1800,2019
"98","Salim Hussein","TO97989900","Male","1-Sep-97",22,"Somalia","UTHM",2200,2019
"99","Layla Khalil","WS01020304","Female","12-Jun-00",19,"Jordan","UMT",2400,2019
"100","Omar Abdulrahman","TV05060708","Male","21-Nov-96",23,"UAE","UMK",2000,2019
"101","Mustafa Sadiq","NZ09101112","Male","9-May-98",21,"Iraq","UPMKB",1800,2019
"102","Amira Ahmed","MH13141516","Female","16-Oct-99",20,"Egypt","UMK",1700,2019
"103","Nabil Ali","FM17181920","Male","7-Dec-97",22,"Yemen","USIM",2500,2019
"104","Nada Hassan","PW21222324","Female","30-Mar-96",23,"Palestine","UTP",2200,2019
"105","Mohamed Saleh","NR25262728","Male","14-Sep-99",20,"Sudan","UMKC",2000,2019
"106","Maryam Ali","JH331017","Female","20/6/1998",23,"Malaysia","UTHM",8000,2019
"107","Aminah Yusof","KF214009","Female","12/2/2000",19,"Malaysia","UMT",9000,2019
"108","Ahmed Hassan","RF423008","Male","5/11/1997",22,"Egypt","UMK",8500,2019
"109","Farida Abdallah","MY923724","Female","15/3/1998",21,"Egypt","UPMKB",3000,2019
"110","Ahmad Al-Said","MY812345","Male","22/6/1999",20,"Saudi Arabia","UMK",3500,2019
"111","Wafaa Ali","MY721856","Female","10/1/1997",22,"Iraq","USIM",2800,2019
"112","Hassan Al-Mahdi","MY634872","Male","5/9/1998",21,"Sudan","UTP",3200,2019
"113","Amina Ahmed","MY583910","Female","3/7/1997",22,"Somalia","UMKC",2900,2019
"114","Yasin Mohammed","MY427197","Male","12/12/1999",20,"Kenya","UTHM",3100,2019
"115","Safiya Hussein","MY329678","Female","20/5/1998",21,"Yemen","UMT",2700,2019
"116","Hassan Ali","MY266491","Male","2/4/1997",22,"Egypt","UMK",3000,2019
"117","Dina Mahmoud","MY197842","Female","11/11/1998",21,"Palestine","UPMKB",2900,2019
"118","Ibrahim Hassan","MY142736","Male","9/8/1999",20,"Sudan","UTM",3300,2019
"119","Ali Abdullah","MY087433","Male","28/2/1997",22,"Saudi Arabia","UTHM",3500,2019
"120","Leila Ibrahim","MY003729","Female","17/10/1997",22,"Somalia","UMK",2800,2019
"121","Mariam Al-Masri","MY956242","Female","25/6/1998",21,"Syria","UMT",3000,2019
"122","Ahmed El-Sayed","MY892335","Male","3/9/1999",20,"Egypt","UMP",3200,2019
"123","Omar Abdulrahman","MY768891","Male","8/3/1997",22,"United Arab Emirates","UTM",3100,2019
"124","Muhammad Faisal","LB129864","Male","12/2/1998",21,"Lebanon","UTHM",7500,2019
"125","Farida Mohamed","SD473001","Female","24/7/1999",20,"Sudan","UMK",8200,2019
"126","Ahmed Al-Khaldi","KS334005","Male","1/1/2000",19,"Saudi Arabia","UMT",7200,2019
"127","Maryam Al-Mansouri","AE876102","Female","11/10/1998",21,"United Arab Emirates","UMP",6800,2019
"128","Hiba Abdelrahman","SD339922","Female","17/5/1997",22,"Sudan","UTM",8000,2019
"129","Abdullah Saleh","SA778934","Male","8/3/1999",20,"Saudi Arabia","UTHM",7200,2019
"130","Salim Ahmed","OM983002","Male","25/12/1997",22,"Oman","UMK",7800,2019
"131","Khaled Abdelmoneim","EG432221","Male","30/6/2000",19,"Egypt","UMT",8200,2019
"132","Ayatullah Hamzah","AF209810","Male","5/1/1998",21,"Afghanistan","UMP",7000,2019
"133","Yasmin Al-Farsi","OM119865","Female","1/9/1997",22,"Oman","UTM",6700,2019
"134","Dalia Said","EG558922","Female","18/11/1999",20,"Egypt","UTHM",7500,2019
"135","Ahmed Al-Ali","QA876004","Male","21/8/1998",21,"Qatar","UMK",8300,2019
"136","Mariam Hussein","SO657712","Female","12/6/1998",21,"Somalia","UMT",7800,2019
"137","Fatima Mohamed","SD132003","Female","17/2/2000",19,"Sudan","UMP",8000,2019
"138","Ali Ibrahim","EG879002","Male","9/4/1999",20,"Egypt","UTM",7200,2019
"139","Omar Al-Bakri","LB773009","Male","31/7/1997",22,"Lebanon","UTHM",6800,2019
"140","Asmaa Al-Hashemi","AE999123","Female","6/5/1998",21,"United Arab Emirates","UMK",8200,2019
"141","Ahmed El-Sayed","EG312004","Male","12/3/2001",18,"Egypt","UMT",2500,2019
"142","Sanaa Ali","SO120053","Female","5/7/1998",21,"Somalia","UMP",3000,2019
"143","Ahmad Hassan","SD820029","Male","17/2/2000",19,"Sudan","UTM",2000,2019
"144","Ali al-Abadi","IQ712007","Male","23/6/2002",17,"Iraq","UTHM",1500,2019
"145","Sara Khalifa","EG412003","Female","1/9/1999",20,"Egypt","UMK",2200,2019
"146","Ahmed Omar","SO120054","Male","2/1/2001",18,"Somalia","UMT",2800,2019
"147","Noura Ahmed","SD820030","Female","15/10/1998",21,"Sudan","UMP",2700,2019
"148","Fatima Abdullah","IQ712008","Female","10/5/2000",19,"Iraq","UTM",1800,2019
"149","Nour el-Din","SY612009","Male","28/2/1999",20,"Syria","UTHM",2100,2019
"150","Amir Said","JO820004","Male","3/8/2000",19,"Jordan","UMK",2500,2019
"151","Dalia Hassan","EG312005","Female","19/6/1998",21,"Egypt","UMT",1900,2019
"152","Ali Abdi","SO120055","Male","10/12/1999",20,"Somalia","UMP",2200,2019
"153","Amal Hamza","SD820031","Female","3/4/2001",18,"Sudan","UTM",2400,2019
"154","Hasan Ali","IQ712009","Male","12/1/2002",17,"Iraq","UTHM",2600,2019
"155","Layla Nasr","SY612010","Female","2/11/2000",19,"Syria","UMK",2800,2019
"156","Hassan Ali","AG232015","Male","12-Feb-00",22,"Yemen","UCSI",4500,2022
"157","Rahma Mohamed","BF423007","Female","23-Jul-01",21,"Somalia","UM",3000,2022
"158","Ahmed Salah","CC523016","Male","30-Sep-00",22,"Sudan","Taylor's",4000,2022
"159","Maryam Ibrahim","DE217010","Female","17-Jun-02",20,"Ethiopia","APU",3500,2022
"160","Fatima Omar","EE122010","Female","3-Aug-00",22,"Somalia","UUM",3200,2022
"161","Khalid Abdullah","FG222009","Male","27-Jan-00",22,"Yemen","UIA",4500,2022
"162","Nadia Ali","GH122008","Female","10-Jun-01",21,"Somalia","City",3000,2022
"163","Mohammed Yusuf","HH323017","Male","2-Mar-02",20,"Somalia","KLU",4000,2022
"164","Aisha Abdi","JJ423020","Female","29-Dec-01",21,"Somalia","UPM",3500,2022
"165","Omar Ahmed","KK112010","Male","8-Sep-00",22,"Somalia","USM",3200,2022
"166","Ali Abdullahi","LL218009","Male","1-Nov-01",21,"Somalia","UiTM",4500,2022
"167","Zainab Hassan","MM321008","Female","14-Feb-00",22,"Yemen","UMS",3000,2022
"168","Abdulrahman Ali","NN233019","Male","19-May-02",20,"Yemen","UKM",4000,2022
"169","Muna Farah","PP422013","Female","7-Oct-01",21,"Somalia","IIUM",3500,2022
"170","Mohammed Salah","QQ522013","Male","10-Dec-00",22,"Yemen","UniMAP",3200,2022
"171","Amal Ahmed","A1823578","Female","2-Feb-01",21,"Sudanese","UTM",1500,2022
"172","Waleed Saleh","F4512758","Male","15-Jul-00",22,"Yemeni","AIT",1800,2022
"173","Zaki Al Khoury","B8284652","Male","1-Jan-02",20,"Lebanese","ASU",2000,2022
"174","Nadeen Al Masri","J7743026","Female","3-Apr-99",23,"Palestinian","UP",1700,2022
"175","Rania Khalid","P3579631","Female","6-Sep-01",21,"Sudanese","UTHM",2200,2022
"176","Ahmed Hussein","M9610347","Male","8-Dec-00",22,"Egyptian","UMK",1500,2022
"177","Fatima Ismail","M8890444","Female","5-Feb-99",23,"Somali","UMT",1900,2022
"178","Omar Ali","N7561029","Male","22-Jan-00",22,"Iraqi","UMP",2000,2022
"179","Ayah Khader","G3562896","Female","11-Oct-01",21,"Jordanian","USIM",1500,2022
"180","Huda Al Badi","L4521376","Female","8-Mar-02",20,"Bahraini","UTP",1800,2022
"181","Yassin Mohamed","P6329583","Male","12-Jun-00",22,"Djiboutian","UMKC",2000,2022
"182","Zainab Mohammed","F4865036","Female","19-Dec-99",23,"Omani","UPMKB",1500,2022
"183","Ahmad Saad","A7250631","Male","23-Apr-01",21,"Lebanese","INTI",1700,2022
"184","Mouna Ahmed","G3180285","Female","28-Aug-98",24,"Yemeni","MMU",2000,2022
"185","Walid Al Said","P7461099","Male","9-Jul-02",20,"Palestinian","Sunway",3000,2022
"186","Abdallah Ahmed","A123456","Male","12/5/2003",19,"Somalia","SEGi",3600,2022
"187","Abdelrahman Mohamed","A234567","Male","21/1/2003",19,"Egypt","HELP",3200,2022
"188","Abeer Ali","A345678","Female","3/9/2002",20,"Yemen","TARUC",4700,2022
"189","Ahmed Hassan","A456789","Male","4/2/2003",19,"Sudan","UNITEN",4200,2022
"190","Aisha Abdi","A567890","Female","15/6/2002",20,"Somalia","Heriot-Watt",3400,2022
"191","Alia Hussein","A678901","Female","8/8/2003",18,"Yemen","AIMST",2600,2022
"192","Amal Mohamed","A789012","Female","27/10/2002",20,"Egypt","KDU",2300,2022
"193","Anwar Ali","A890123","Male","30/12/2002",20,"Yemen","RCSI",3000,2022
"194","Asmaa Hassan","A901234","Female","1/3/2003",19,"Sudan","Saito",2700,2022
"195","Aziza Mohamed","A012345","Female","22/5/2002",20,"Egypt","Taylor's",3100,2022
"196","Basheer Ahmed","A123456","Male","10/11/2002",20,"Somalia","UCSI",3200,2022
"197","Dalia Ali","A234567","Female","3/4/2002",20,"Yemen","UNIMAS",3600,2022
"198","Ebrahim Hassan","A345678","Male","24/7/2003",18,"Sudan","TARC",4700,2022
"199","Fatima Abdi","A456789","Female","15/8/2002",20,"Somalia","MAHSA",4200,2022
"200","Hala Ali","A678901","Female","18/3/2002",20,"Yemen","KLMUC",3000,2022
"201","Hamid Hussein","A789012","Male","21/4/2003",18,"Somalia","IACT",2900,2022
"202","Hanan Mohamed","A890123","Female","23/11/2002",20,"Egypt","OUM",3400,2022
"203","Hasan Abdi","A901234","Male","14/6/2003",19,"Somalia","UTAR",2700,2022
"204","Hayat Ahmed","A012345","Female","10/8/2003",18,"Sudan","WOU",3600,2022
"205","Ibrahim Mohamed","A123456","Male","5/3/2003",19,"Egypt","SEGi",4200,2022
"206","Ikram Ali","A234567","Female","16/2/2002",20,"Yemen","INTI",3100,2022
"207","Jana Hassan","A345678","Female","12/5/2002",20,"Sudan","TARUC",3200,2022
"208","Jawad Abdi","A456789","Male","30/9/2002",20,"Somalia","MMU",2500,2022
"209","Jihan Hussein","A567890","Female","26/6/2002",20,"Yemen","Sunway",2600,2022
"210","Karam Mohamed","A678901","Male","2/10/2002",20,"Egypt","KDU",3000,2022
"211","Khadija Ali","A789012","Female","11/1/2003",19,"Somalia","HELP",2900,2022
"212","Khalid Hassan","A890123","Male","12/4/2002",20,"Egypt","UCSI",4700,2022
"213","Nisrin Ahmed","A456789","Female","14/7/2003",18,"Sudan","UNITEN",3100,2022
"214","Lamia Mohamed","A012345","Female","12/3/2003",19,"Egypt","UNIMAS",3100,2022
"215","Lina Ali","A123456","Female","15/6/2002",20,"Yemen","AIMST",2300,2022
"216","Lubna Hassan","A234567","Female","28/9/2002",20,"Sudan","TARC",3200,2022
"217","Mahmoud Abdi","A345678","Male","22/5/2003",19,"Somalia","MAHSA",3600,2022
"218","Malak Hussein","A456789","Female","4/12/2002",20,"Yemen","KLMUC",3400,2022
"219","Mariam Mohamed","A567890","Female","21/2/2003",19,"Egypt","IACT",4200,2022
"220","Maryam Ali","A678901","Female","23/4/2002",20,"Yemen","OUM",4700,2022
"221","Mohamed Hassan","A789012","Male","16/6/2003",19,"Sudan","UTAR",2700,2022
"222","Nadia Abdi","A890123","Female","8/8/2002",20,"Somalia","WOU",2900,2022
"223","Nadine Hussein","A901234","Female","3/1/2003",19,"Egypt","SEGi",2600,2022
"224","Naima Mohamed","A012345","Female","28/7/2002",20,"Somalia","INTI",2500,2022
"225","Nasir Ali","A123456","Male","2/8/2003",18,"Yemen","TARUC",3000,2022
"226","Nidal Hassan","A234567","Male","14/11/2002",20,"Sudan","MMU",2700,2022
"227","Nihad Abdi","A345678","Male","15/4/2003",19,"Somalia","Sunway",4200,2022
"228","Sara Mohamed","A890123","Female","4/1/2003",19,"Egypt","KDU",4700,2022
"229","Nizar Mohamed","A567890","Male","7/6/2002",20,"Egypt","HELP",2600,2022
"230","Noor Ali","A678901","Male","28/1/2003",19,"Yemen","UCSI",3000,2022
"231","Omar Hussein","A789012","Male","30/4/2002",20,"Somalia","UNITEN",3200,2022
"232","Randa Mohamed","A890123","Female","23/4/2003",19,"Egypt","UNIMAS",3600,2022
"233","Rania Ali","A901234","Female","16/11/2002",20,"Yemen","AIMST",3400,2022
"234","Rawan Hassan","A012345","Female","8/2/2003",19,"Sudan","TARC",2900,2022
"235","Rima Abdi","A123456","Female","11/6/2002",20,"Somalia","MAHSA",4700,2022
"236","Saad Mohamed","A234567","Male","24/3/2003",19,"Egypt","KLMUC",4200,2022
"237","Sabah Ali","A345678","Female","16/8/2002",20,"Yemen","IACT",2500,2022
"238","Sahar Hussein","A456789","Female","10/12/2002",20,"Sudan","OUM",2700,2022
"239","Salah Abdi","A567890","Male","7/10/2002",20,"Somalia","UTAR",3400,2022
"240","Salma Ahmed","A678901","Female","30/7/2003",18,"Egypt","WOU",2900,2022
"241","Samir Hassan","A789012","Male","20/5/2002",20,"Yemen","SEGi",3000,2022
"242","Sara Ali","A890123","Female","17/3/2003",19,"Yemen","INTI",3600,2022
"243","Sarah Hassan","A901234","Female","19/8/2002",20,"Sudan","TARUC",2900,2022
"244","Shadi Abdi","A012345","Male","22/2/2003",19,"Somalia","MMU",4200,2022
"245","Shahd Hussein","A123456","Female","13/7/2002",20,"Egypt","Sunway",3100,2022
"246","Sherif Mohamed","A234567","Male","11/8/2003",18,"Egypt","KDU",2700,2022
"247","Siham Ali","A345678","Female","25/11/2002",20,"Yemen","HELP",2500,2022
"248","Sofia Hassan","A456789","Female","28/5/2003",19,"Sudan","UCSI",3200,2022
"249","Souad Abdi","A567890","Female","4/1/2003",19,"Somalia","UNITEN",4700,2022
"250","Sumaya Mohamed","A678901","Female","6/4/2002",20,"Egypt","UNIMAS",2600,2022
"251","Taha Hussein","A789012","Male","17/6/2003",19,"Sudan","AIMST",2600,2022
"252","Tariq Abdi","A890123","Male","12/9/2002",20,"Somalia","TARC",3000,2022
"253","Umar Mohamed","A901234","Male","7/12/2002",20,"Egypt","MAHSA",3600,2022
"254","Wafa Ali","A012345","Female","2/3/2003",19,"Yemen","KLMUC",2900,2022
"255","Yahya Hassan","A123456","Male","24/6/2002",20,"Sudan","IACT",3400,2022
"256","Yasmin Hussein","A234567","Female","29/9/2002",20,"Somalia","OUM",3200,2022
"257","Yasmine Mohamed","A345678","Female","18/6/2003",19,"Egypt","UTAR",3100,2022
"258","Youssef Ali","A456789","Male","9/12/2002",20,"Yemen","WOU",2600,2022
"259","Zainab Hassan","A567890","Female","12/4/2003",19,"Sudan","SEGi",2700,2022
"260","Zaki Mohamed","A678901","Male","26/7/2002",20,"Egypt","INTI",4200,2022
"261","Ziad Abdi","A789012","Male","16/2/2003",19,"Somalia","TARUC",3600,2022
"262","Zina Ali","A890123","Female","29/5/2002",20,"Yemen","MMU",4700,2022
"263","Zubair Hussein","A901234","Male","14/1/2003",19,"Sudan","Sunway",3400,2022
"264","Abdul Rahman Mohamed","A012345","Male","6/5/2002",20,"Egypt","KDU",2300,2022
"265","Ahmed Ali","A123456","Male","22/8/2003",18,"Yemen","HELP",3100,2022
"266","Ahmed Hassan","A234567","Male","14/11/2002",20,"Sudan","UCSI",3000,2022
"267","Amal Abdi","A345678","Female","1/4/2003",19,"Somalia","UNITEN",2900,2022
"268","Amina Hussein","A456789","Female","20/8/2002",20,"Egypt","UNIMAS",2600,2022
"269","Asma Ali","A678901","Female","9/1/2003",19,"Yemen","AIMST",3000,2022
"270","Basma Mohamed","A789012","Female","3/7/2002",20,"Egypt","TARC",3600,2022
"271","Bilal Abdi","A890123","Male","18/5/2003",19,"Somalia","MAHSA",3100,2022
"272","Eman Hussein","A901234","Female","11/6/2002",20,"Sudan","KLMUC",2900,2022
"273","Fatima Ali","A012345","Female","25/12/2002",20,"Yemen","IACT",2600,2022
"274","Hafsa Hassan","A123456","Female","17/7/2003",18,"Somalia","OUM",3200,2022
"275","Hala Mohamed","A234567","Female","15/4/2002",20,"Egypt","UTAR",3400,2022
"276","Hamza Abdi","A345678","Male","29/3/2003",19,"Somalia","WOU",4700,2022
"277","Idris Hussein","A456789","Male","25/11/2002",20,"Sudan","SEGi",2700,2022
"278","Inas Ali","A567890","Female","12/2/2003",19,"Yemen","INTI",2500,2022
"279","Ismail Mohamed","A678901","Male","15/5/2002",20,"Egypt","TARUC",2600,2022
"280","Jaber Abdi","A789012","Male","3/1/2003",19,"Somalia","MMU",2900,2022
"281","Jamal Hassan","A890123","Male","28/4/2002",20,"Sudan","Sunway",4200,2022
"282","Kareem Mohamed","A234567","Male","11/5/2003",19,"Egypt","KDU",3200,2022
"283","Khadija Abdi","A345678","Female","2/8/2002",20,"Somalia","HELP",3100,2022
"284","Laila Hussein","A456789","Female","23/12/2002",20,"Yemen","UCSI",2600,2022
"285","Leila Ali","A567890","Female","15/6/2003",19,"Sudan","UNITEN",3400,2022
"286","Mahdi Mohamed","A678901","Male","28/9/2002",20,"Egypt","UNIMAS",3600,2022
"287","Majed Abdi","A789012","Male","21/4/2003",19,"Somalia","AIMST",4700,2022
"288","Mariam Hussein","A890123","Female","12/7/2002",20,"Sudan","TARC",2900,2022
"289","Mariam Mohamed","A901234","Female","2/2/2003",19,"Egypt","MAHSA",4200,2022
"290","Marwa Ali","A012345","Female","25/5/2002",20,"Yemen","KLMUC",2700,2022
"291","Mina Hassan","A123456","Female","27/8/2003",18,"Sudan","IACT",2500,2022
"292","Mohamed Abdi","A234567","Male","19/11/2002",20,"Somalia","OUM",3200,2022
"293","Nadia Hussein","A345678","Female","17/1/2003",19,"Egypt","UTAR",2600,2022
"294","Nada Ali","A456789","Female","20/4/2002",20,"Yemen","WOU",3100,2022
"295","Nour Mohamed","A567890","Male","5/3/2003",19,"Egypt","SEGi",3600,2022
"296","Tariq Hussein","A234567","Male","2/5/2003",19,"Sudan","INTI",3100,2022
"297","Waleed Ali","A345678","Male","26/7/2002",20,"Yemen","MMU",2600,2022
"298","Yasmin Mohamed","A456789","Female","19/3/2003",19,"Egypt","Sunway",3600,2022
"299","Youssef Abdi","A567890","Male","12/6/2002",20,"Somalia","KDU",2900,2022
"300","Zahra Hussein","A678901","Female","29/1/2003",19,"Sudan","HELP",3200,2022
"301","Zainab Mohamed","A789012","Female","21/4/2002",20,"Egypt","UCSI",2500,2022
